Date,Temperature
20220905 103905,31.250
20220905 103905,30.750
20220905 104013,30.750
20220905 104013,29.750
20220905 104013,29.875
20220905 104013,29.625
20220905 104013,29.437
20220905 104013,29.375
20220905 104013,30.062
20220905 104013,30.812
20220905 104013,31.375
20220905 104013,32.000
20220905 104013,32.812
20220905 104013,33.750
20220905 104013,34.750
20220905 104013,35.937
20220905 104013,37.187
20220905 104013,38.375
20220905 104013,39.437
20220905 104013,40.437
20220905 104013,41.312
20220905 104013,42.062
20220905 104013,42.812
20220905 104013,43.375
20220905 104013,43.875
20220905 104013,44.250
20220905 104013,44.625
20220905 104013,44.812
20220905 104013,45.000
20220905 104013,45.187
20220905 104013,45.312
20220905 104013,45.437
20220905 104013,45.562
20220905 104013,45.625
20220905 104013,45.687
20220905 104013,45.750
20220905 104013,45.750
20220905 104013,45.750
20220905 104013,45.750
20220905 104013,45.812
20220905 104013,45.812
20220905 104013,45.875
20220905 104013,45.937
20220905 104013,45.937
20220905 104013,46.000
20220905 104013,46.062
20220905 104013,46.062
20220905 104013,46.125
20220905 104013,46.187
20220905 104013,46.250
20220905 104013,46.312
20220905 104013,46.312
20220905 104013,46.312
20220905 104013,46.375
20220905 104013,46.312
20220905 104013,46.250
20220905 104013,46.250
20220905 104013,46.187
20220905 104013,46.187
20220905 104013,46.125
20220905 104013,46.062
20220905 104013,46.000
